Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
Amazing place to grow and develop,"Sep 26, 2021 ",5.0,Former, Senior Management Consultant,,Recommend,Business Outlook,Share,"Focused a lot of early career development. Amazing place to grow your strategic thinking, problem solving, and quantitative skills.","Long hours, but honestly, not deal-breaking."
It's luck of the draw,"Sep 27, 2021 ",3.0,Current, International Tax Associate,,Recommend,Business Outlook,Share,"The people, you will gain a ton of experience at a very fast rate, flexible working hours, work from home / hybrid environment, and is a job that constantly challenges you.","Although the hours are flexible they are still ridiculously long and it creates a lot of difficulty in disconnecting from work and maintaining other aspects of your life. If you don't mind work significantly more than 40 hrs (easily 60+ during busy season) each week , as well as never knowing when you're going to be done with work each day then it will likely be a decent fit, but otherwise maybe look for something else."
Lots of politics,"Sep 28, 2021 ",4.0,Former, SAP Consultant,,Recommend,Business Outlook,Share,"Opportunity to work with lots of bright talented people, general prestige of the firm",Very negative experience with a manager with zero people management skills. Did not know how to constructively offer feedback and instead just chose to belittle any mistakes we made.
Its a massive ship,"Sep 30, 2021 ",3.0,Former, International Tax Associate,,Recommend,Business Outlook,Share,"They are trying to change culture, and you can find people that care.",They are still a business and you are replaceable. So being burnt out did not matter. Getting sleep or having your life continuously interrupted did not matter. A partner has his first child on Friday and was back in the office on Monday and never took paternity leave. Not exactly setting the best example here.
PwC life,"Sep 21, 2021 ",4.0,Current, Risk and Regulatory Advisory Senior Associate,,Recommend,Business Outlook,Share,Good pay and benefits Career opportunities are plentiful and people work with you well to progress you,You work a lot. The firm preaches work life balance but it is all just for show as no one really follows it. The firm also took a woke new approach to people and it is annoying a lot of people that are afraid to speak up against it.
"Politics, politics and more politics","Aug 1, 2021 ",3.0,Current, Recruiter,,Recommend,Business Outlook,Share,"Amazing benefits and decent PTO policy. Allows work from home (even prior to Covid)). Some really nice, decent people, but they don’t stay long.","Politics rule at PwC. Hard work? Doesn’t matter. Masters Degree? Doesn’t matter. They pride themselves of D&I initiatives but at the end of the day it’s all about which clique you’re in with and who you know. I’ve seen qualified candidates not get a chance bc the job went to someone who had a connection within the firm. Promotions are given based on politics and work ethic and results have zero to do with anything. It’s sad because I think PwC truly could be the great place to work for that they claim to be, but promoting based on politics is just going to continue to hurt while other firms pass us by."
Conservative legacy accounting firm trying to be a TechCo,"Aug 8, 2021 ",3.0,Former, Alliance Customer Relationship Executive (ACRE),,Recommend,Business Outlook,Share,"Big clients that believe in PwC, excellent values at the top, good benefits, good reputation, strong negotiating leverage to bring all the major vendors to the table.","The firm's reputation is good, but everything moves at a snail's pace, and neither the client experience or the work output on technical projects measure up to the firm's illustrious reputation. PwC isn't really built for tech or sales -- or even advisory consulting, really, because they're just not fast enough to keep up with what's really going on. It will always be an accounting firm first, but they REALLY want to be a tech and consulting company. For what it's worth, during my tenure, I worked with people that had just come from similar firms like Deloitte and Accenture, and all of these cons seem to apply to those firms too. They're all trying to be something that they aren't because they think it will help their bottom lines and reputations."
People Friendly Firm,"Sep 25, 2021 ",5.0,Former, Partner,,Recommend,Business Outlook,Share,"The firm provides a focus on providing opportunities to develop all employees, provide career growth options and work life balance alternatives",During the busy season it can be very long demanding days
Excellent place to learn and grow,"Sep 30, 2021 ",4.0,Current, Senior Ops Manager,,Recommend,Business Outlook,Share,Fast-paced and forward thinking but good place to learn,Cannot think of any now.
Risk Assurance Services (RAS),"Sep 30, 2021 ",4.0,Former, Associate,,Recommend,Business Outlook,Share,Good team to work with!,Work/ Life Balance needs a little work
Great Employer,"Sep 15, 2021 ",4.0,Former, Human Resources Senior Associate,,Recommend,Business Outlook,Share,"Great benefits, comparable pay, amazing learning & development platform with a separate digital upskilling app. If you are interested in growing and learning, this is the right place. They have some really amazing people who have rock-star qualities.","Any big, major firm like this you have the added political component; however, depending on the team your with, this one raised the bar. Not a big fan of this; not sure who is"
Solid place to work,"Sep 29, 2021 ",5.0,Current, Manager,,Recommend,Business Outlook,Share,Work life balance is a nice perk,Workload can be high throughout the year.
GREAT,"Sep 30, 2021 ",5.0,Former, Fiance Analyst,,Recommend,Business Outlook,Share,opportunity of growth Year-year experience,long process in the decision making
Review,"Sep 28, 2021 ",4.0,Current, Human Resources Senior Manager,,Recommend,Business Outlook,Share,"Training opportunities, flexible hours, ability to work remotely",Health benefits and 401k match don't seem to be competitive and could use some improvement
Great Place to Start a Career,"Sep 26, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Great people, helps being professional development, access to resources and flexibility","Severely understaffed, limit to personal growth, very corporate feel"
Work Life Balance,"Sep 28, 2021 ",4.0,Current, Audit/Assurance Manager,,Recommend,Business Outlook,Share,Great People and resources for development.,"Can become too specialized, and long hours year round are the norm."
Tax,"Sep 29, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,"Fun times, people my age","Stress, long hours, teams are a mixed bag"
"Good perks, flexible work schedule","Sep 27, 2021 ",5.0,Current, Information Security Specialist,,Recommend,Business Outlook,Share,- Good perks - Care about societal issues - Good Flexibility - Internal Movement,- Hierarchy - Occasional bad manager - Rigid Work style
A Great Place to Start Your Career,"Sep 28, 2021 ",5.0,Former, Cyber Risk Consultant,,Recommend,Business Outlook,Share,"Salary, People, Benefits, Training, Brand Name Recognition","Long-Hours, Clients can be demanding,"
"A fantastic work-experience, but with a work-life balance that will test your limits","Jun 25, 2021 ",3.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"The people are generally smart and nice Spectacular professional and personal development: It looks fantastic on a resume and opens doors to jobs where time at the Big 4 is a requirement. You learn great skills and really grow. Good benefits, when you have the time to take them If you take the summer after graduation to knock as many CPA exams out as you can, they pay for your CPA and CPA bonus","The rest is a personal rant on poor work life balance; read or skip if you'd like. Busy season(s) working 55-65+hours per week - those have been some of the hardest times of my life. Often having to do trainings on evenings or weekends, inventory counts a few times a year on weekends or holidays. Be prepared to work part-time and full-time on weekends during busy season(s). If you're lucky those busy season(s) will only last 2-3 months a year. It can still feel a bit busy the rest of the year I don't know how anyone studies for the CPA without knocking out exams before starting full time. Getting promoted appears to bring even less work-life balance I'm worried about my family not having a spouse/ parent during busy season, to say nothing of other priorities"
Deals Consultant,"Sep 27, 2021 ",5.0,Current, Consultant,,Recommend,Business Outlook,Share,Great work life balance and compensation,Large organization to manage when trying deal with beaurocracy
PwC,"Sep 28, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Nice job like it there,Long hours and busy seasons
great place,"Sep 28, 2021 ",5.0,Current, Financial Consultant,,Recommend,Business Outlook,Share,nice working environment and collaborate atomostphere,there's no cons i would like to share
Great work culture,"Sep 28, 2021 ",5.0,Current, PwC Experienced Associate,,Recommend,Business Outlook,Share,You get to work with different people.,Too much compliance during busy season.
Senior Associate,"Sep 28, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Fast Pace, Lots of Development, Interesting Clients","Work Life Balance, Can be High Pressure"
Great stepping stone. Either will make or break you.,"Jun 24, 2021 ",3.0,Former, Digital Assurance and Transparency,,Recommend,Business Outlook,Share,Great place to start out if you're trying get some solid experience. I personally don't feel passionate enough to be doing this long term. If IT audit and checking boxes is your cup of tea you'll enjoy. And staff is helpful if you need help. Great project management experience.,Work life balance could be better. Constantly have to manage offshore teams during your evenings to make sure they understand and get the work done. And every engagement expects this. Hence turnover rate is high because pressure to meet deadlines and manage multiple offshore teams for multiple clients gets tough. And obviously you still have your work which needs to get done with all the project management.
Great Company,"Sep 27, 2021 ",5.0,Current, Executive Concierge,,Recommend,Business Outlook,Share,"Flexibility, Pay, Team, Autonomy, Digital Upskilling, Networking","Nothing comes to mind, overall it's a great company."
Full time offer,"Sep 28, 2021 ",5.0,Current, Digital Assurance and Technology Associate,,Recommend,Business Outlook,Share,"People, culture, and the clients",The work load is a lot
Experience here,"Sep 28, 2021 ",5.0,Former, Data Analyst,,Recommend,Business Outlook,Share,good training and sound atmosphere.,Salary is low and workload is huge
Great people and place to work,"Sep 24, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,"Great benefits (vacation policy, cell phone, health (mental+), people are great and opportunities",Leadership disconnect with staff and day to day to execute ideas and plans
They take care of their employees,"Aug 28, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,A lot of ways to advance your career with numerous learning opportunities. Lots of events within the teams for team building.,"Very large firm, with a good amount of turnover from the pace or as everyone calls it, work/life balance. It gets to be a lot and once you've been through a few of them, you start to realize where you're at in your career and have to decide whether or not you are on a Partner path or have other plans."
Mostly good experience,"Sep 17, 2021 ",4.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,"I love everything about PwC except for the work. The culture and the people are great, but your team can only do so much to make the environment great when the work is so abrasive. Plenty of guidance and training available if you ask for it.",Tremendous workloads and mostly thankless projects.
Everything is client dependent,"Sep 23, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,Learn a lot Great people Always on the cutting edge,"If you're on a bad client/team, you're life will suck If you're on a good team, it will be great"
Great place for remote work.,"Sep 24, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Always new opportunities if you're looking for them.,Work life balance can be tough - but you need to communicate your needs.
Avergae,"Sep 26, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Work with smart people, learn a lot",No work-life balance. Always work extra hours
Great Expierence,"Sep 27, 2021 ",4.0,Former, Tax Analyst,,Recommend,Business Outlook,Share,Wide range of experiences Friendly environment,Long hours and uncertainty of schedule
Great company,"Sep 27, 2021 ",5.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Great company to work for,No cons at the moment
"Smart people, good culture, long hours","Sep 15, 2021 ",4.0,Current, Senior Associate ,,Recommend,Business Outlook,Share,The people I work with are very smart and the work we do is very high quality. Hours are pretty long but the team is flexible.,"Hours can get to be a lot. Being a large organization, you have limited leeway to negotiate anything unique for your own situation."
Long hours but great learning opportunity and great people,"Sep 21, 2021 ",5.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,Yes the hours are long and at times can be very difficult but overall had a great experience at PwC.,"Long hours, low pay, tight deadlines"
Great Experience,"Sep 15, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Flexibility, career progression, great opportunities, great culture and employees","unpredictability with schedule, unclear expectations"
Good,"Sep 27, 2021 ",4.0,Former, Audit Associate,,Recommend,Business Outlook,Share,Training is really good yeah,Salary is not good enough
n/a,"Sep 26, 2021 ",5.0,Former, Data Analyst,,Recommend,Business Outlook,Share,Challenging Tasks Engaging Projects Learning Curve Welcoming People Growth Opportunities,Overload of information Workload Balance Changing policy
Great Experience,"Sep 26, 2021 ",4.0,Current, Senior Tax Associate,,Recommend,Business Outlook,Share,Great experience and challenging opportunities.,Can be long hours during busy season.
Excellent upward growth with aggressive expectation,"Sep 23, 2021 ",5.0,Current, MuleSoft Architect/Senior Developer,,Recommend,Business Outlook,Share,25 % more pay than the competitors,50 % more work among the competitors(work life balance scrutiny)
